Color ID;RGB Value;Color Name;Preview
-1;0033B2;[Unknown];
0;05131D;Black;
1;0055BF;Blue;
2;237841;Green;
3;008F9B;Dark Turquoise;
4;C91A09;Red;
5;C870A0;Dark Pink;
6;583927;Brown;
7;9BA19D;Light Gray;
8;6D6E5C;Dark Gray;
9;B4D2E3;Light Blue;
10;4B9F4A;Bright Green;
11;55A5AF;Light Turquoise;
12;F2705E;Salmon;
13;FC97AC;Pink;
14;F2CD37;Yellow;
15;FFFFFF;White;
17;C2DAB8;Light Green;
18;FBE696;Light Yellow;
19;E4CD9E;Tan;
20;C9CAE2;Light Violet;
21;D4D5C9;Glow In Dark Opaque;
22;81007B;Purple;
23;2032B0;Dark Blue-Violet;
25;FE8A18;Orange;
26;923978;Magenta;
27;BBE90B;Lime;
28;958A73;Dark Tan;
29;E4ADC8;Bright Pink;
30;AC78BA;Medium Lavender;
31;E1D5ED;Lavender;
32;635F52;Trans-Black IR Lens;
33;0020A0;Trans-Dark Blue;
34;84B68D;Trans-Green;
35;D9E4A7;Trans-Bright Green;
36;C91A09;Trans-Red;
40;635F52;Trans-Brown;
41;AEEFEC;Trans-Light Blue;
42;F8F184;Trans-Neon Green;
43;C1DFF0;Trans-Very Lt Blue;
45;DF6695;Trans-Dark Pink;
46;F5CD2F;Trans-Yellow;
47;FCFCFC;Trans-Clear;
52;A5A5CB;Trans-Purple;
54;DAB000;Trans-Neon Yellow;
57;FF800D;Trans-Neon Orange;
60;645A4C;Chrome Antique Brass;
61;6C96BF;Chrome Blue;
62;3CB371;Chrome Green;
63;AA4D8E;Chrome Pink;
64;1B2A34;Chrome Black;
68;F3CF9B;Very Light Orange;
69;CD6298;Light Purple;
70;582A12;Reddish Brown;
71;A0A5A9;Light Bluish Gray;
72;6C6E68;Dark Bluish Gray;
73;5A93DB;Medium Blue;
74;73DCA1;Medium Green;
75;05131D;Speckle Black-Copper;
76;6C6E68;Speckle DBGray-Silver;
77;FECCCF;Light Pink;
78;F6D7B3;Light Nougat;
79;FFFFFF;Milky White;
80;A5A9B4;Metallic Silver;
81;899B5F;Metallic Green;
82;DBAC34;Metallic Gold;
84;AA7D55;Medium Nougat;
85;3F3691;Dark Purple;
86;7C503A;Light Brown;
89;4C61DB;Royal Blue;
92;D09168;Nougat;
100;FEBABD;Light Salmon;
110;4354A3;Violet;
112;6874CA;Medium Bluish Violet;
114;DF6695;Glitter Trans-Dark Pink;
115;C7D23C;Medium Lime;
117;FFFFFF;Glitter Trans-Clear;
118;B3D7D1;Aqua;
120;D9E4A7;Light Lime;
125;F9BA61;Light Orange;
129;A5A5CB;Glitter Trans-Purple;
132;05131D;Speckle Black-Silver;
133;05131D;Speckle Black-Gold;
134;AE7A59;Copper;
135;9CA3A8;Pearl Light Gray;
137;7988A1;Pearl Sand Blue;
142;DCBC81;Pearl Light Gold;
143;CFE2F7;Trans-Medium Blue;
148;575857;Pearl Dark Gray;
150;ABADAC;Pearl Very Light Gray;
151;E6E3E0;Very Light Bluish Gray;
158;DFEEA5;Yellowish Green;
178;B48455;Flat Dark Gold;
179;898788;Flat Silver;
182;F08F1C;Trans-Orange;
183;F2F3F2;Pearl White;
191;F8BB3D;Bright Light Orange;
212;9FC3E9;Bright Light Blue;
216;B31004;Rust;
226;FFF03A;Bright Light Yellow;
230;E4ADC8;Trans-Pink;
232;7DBFDD;Sky Blue;
236;96709F;Trans-Light Purple;
272;0A3463;Dark Blue;
288;184632;Dark Green;
294;BDC6AD;Glow In Dark Trans;
297;AA7F2E;Pearl Gold;
308;352100;Dark Brown;
313;3592C3;Maersk Blue;
320;720E0F;Dark Red;
321;078BC9;Dark Azure;
322;36AEBF;Medium Azure;
323;ADC3C0;Light Aqua;
326;9B9A5A;Olive Green;
334;BBA53D;Chrome Gold;
335;D67572;Sand Red;
351;F785B1;Medium Dark Pink;
366;FA9C1C;Earth Orange;
373;845E84;Sand Purple;
378;A0BCAC;Sand Green;
379;6074A1;Sand Blue;
383;E0E0E0;Chrome Silver;
450;B67B50;Fabuland Brown;
462;FFA70B;Medium Orange;
484;A95500;Dark Orange;
503;E6E3DA;Very Light Gray;
1000;D9D9D9;Glow in Dark White;
1001;9391E4;Medium Violet;
1002;C0F500;Glitter Trans-Neon Green;
1003;68BCC5;Glitter Trans-Light Blue;
1004;FCB76D;Trans-Flame Yellowish Orange;
1005;FBE890;Trans-Fire Yellow;
1006;B4D4F7;Trans-Light Royal Blue;
1007;8E5597;Reddish Lilac;
1008;039CBD;Vintage Blue;
1009;1E601E;Vintage Green;
1010;CA1F08;Vintage Red;
1011;F3C305;Vintage Yellow;
1012;EF9121;Fabuland Orange;
1013;F4F4F4;Modulex White;
1014;AFB5C7;Modulex Light Bluish Gray;
1015;9C9C9C;Modulex Light Gray;
1016;595D60;Modulex Charcoal Gray;
1017;6B5A5A;Modulex Tile Gray;
1018;4D4C52;Modulex Black;
1019;330000;Modulex Tile Brown;
1020;5C5030;Modulex Terracotta;
1021;907450;Modulex Brown;
1022;DEC69C;Modulex Buff;
1023;B52C20;Modulex Red;
1024;F45C40;Modulex Pink Red;
1025;F47B30;Modulex Orange;
1026;F7AD63;Modulex Light Orange;
1027;FFE371;Modulex Light Yellow;
1028;FED557;Modulex Ochre Yellow;
1029;BDC618;Modulex Lemon;
